Symbol,Model,Accuracy,Precision,Recall,F1 Score
BTCUSDT,BTCUSDT_logistic_regression,0.4457831325301205,0.2026286966046002,0.4457831325301205,0.2786144578313253
BTCUSDT,BTCUSDT_random_forest,0.21084337349397592,0.044454928146320224,0.21084337349397592,0.07342804052029013
ETHUSDT,ETHUSDT_logistic_regression,0.288135593220339,0.3091487264285941,0.288135593220339,0.2427492367617644
ETHUSDT,ETHUSDT_random_forest,0.3389830508474576,0.2570621468926554,0.3389830508474576,0.22706337509211494
SOLUSDT,SOLUSDT_logistic_regression,0.35135135135135137,0.12344777209642074,0.35135135135135137,0.1827027027027027
SOLUSDT,SOLUSDT_random_forest,0.5945945945945946,0.4160739687055477,0.5945945945945946,0.48948343504795117
