Timestamp,Symbol,Price,Volume,Source,Price_Normalized,Volume_Normalized,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Price_Change,Price_Change_Pct,Return_1d,Return_3d,Return_5d,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,BB_B,Volume_MA_14,Price_Volume_Ratio,Future_Return,Future_Return_Pct,Signal
2025-03-24 14:46:28.410,SOLUSDT,142.84,2.999,binance,0.11111111111104094,0.08120850833220433,142.84,142.837,142.8385,142.8394,142.8393822156993,142.83864561593964,142.838544617409,142.83843396033382,50.0,2.5676420989384496e-06,-0.00035704610171646167,0.0003596137438154001,0.0,0.0,0.0,0.0,0.0,142.8385,0.003663475485771398,142.84582695097154,142.83117304902848,0.0001025907016880139,0.602361815018354,0.5368571428571427,35.71892973243311,7.000840100812589e-05,0.007000840100812589,1
2025-03-24 14:46:28.410,SOLUSDT,142.84,0.037,binance,0.11111111111104094,0.0009483809781872376,142.84,142.83700000000002,142.8385,142.8396,142.83958814379952,142.83889186758697,142.83868322527482,142.83849537365407,50.0,0.00011742149987981065,-0.0002621525813972072,0.00037957408127701787,0.0,0.0,0.0,0.0,0.0,142.8385,0.003663475485771398,142.84582695097154,142.83117304902848,0.0001025907016880139,0.602361815018354,0.5368571428571427,137.74349083895854,7.000840100812589e-05,0.007000840100812589,1
2025-03-24 14:46:28.410,SOLUSDT,142.84,0.037,binance,0.11111111111104094,0.0009483809781872376,142.84,142.838,142.8385,142.83960000000002,142.8397254291997,142.8390933462075,142.8388086323915,142.83855437860882,50.0,0.000206068579359453,-0.00016850834924587516,0.00037457692860532816,0.0,0.0,0.0,0.0,0.0,142.8385,0.003663475485771398,142.84582695097154,142.83117304902848,0.0001025907016880139,0.602361815018354,0.5368571428571427,137.74349083895854,7.000840100812589e-05,0.007000840100812589,1
2025-03-24 14:46:28.410,SOLUSDT,142.84,0.037,binance,0.11111111111104094,0.0009483809781872376,142.84,142.839,142.8385,142.83960000000002,142.8398169527998,142.8392581923516,142.8389220959733,142.83861106964378,50.0,0.00027317305952578863,-8.01720674915424e-05,0.00035334512701733103,0.0,0.0,0.0,0.0,0.0,142.8385,0.003663475485771398,142.84582695097154,142.83117304902848,0.0001025907016880139,0.602361815018354,0.5368571428571427,137.74349083895854,7.000840100812589e-05,0.007000840100812589,1
2025-03-24 14:46:28.580,SOLUSDT,142.85,0.037,binance,0.22222222222208188,0.0009483809781872376,142.842,142.841,142.839,142.8398,142.84321130186652,142.84121124828766,142.83997713445203,142.83905769436362,66.66666666666666,0.0011203555090730788,0.00015993344782138183,0.0009604220612516969,0.009999999999990905,0.007000840100812589,0.007000840100812589,0.007000840100812589,0.007000840100812589,142.839,0.00447213595537829,142.84794427191076,142.83005572808923,0.00012523571168607657,1.1149186937596354,0.5368571428571427,137.75313404050146,0.0,0.0,0
2025-03-24 14:46:28.580,SOLUSDT,142.85,0.766,binance,0.22222222222208188,0.020701801923858558,142.844,142.84199999999998,142.8395,142.84,142.84547420124434,142.84280920314444,142.84093169307565,142.83948680438857,66.66666666666666,0.0017713348583470179,0.00048221372992650905,0.0012891211284205089,0.0,0.0,0.0,0.007000840100812589,0.007000840100812589,142.8395,0.005104177855684757,142.84970835571136,142.82929164428862,0.00014293463238628158,1.0142845869052415,0.5889285714285712,80.8890147225368,-7.000350017494217e-05,-0.007000350017494217,-1
2025-03-24 14:46:28.580,SOLUSDT,142.85,0.037,binance,0.22222222222208188,0.0009483809781872376,142.846,142.84300000000002,142.83999999999997,142.8402,142.84698280082955,142.84411662075453,142.84179534135416,142.8398990865694,100.0,0.0022611752618217906,0.0008380060363055654,0.0014231692255162252,0.0,0.0,0.0,0.007000840100812589,0.007000840100812589,142.83999999999997,0.005619514869814981,142.85123902973962,142.82876097026033,0.00015736530019100586,0.9448782604759876,0.3442142857142856,137.75313404050146,-7.000350017494217e-05,-0.007000350017494217,-1
2025-03-24 14:46:28.580,SOLUSDT,142.85,0.053,binance,0.22222222222208188,0.001381926568215689,142.848,142.844,142.84050000000002,142.8404,142.84798853388637,142.84518632607188,142.84257673741567,142.84029520082157,100.0,0.0026191849766519226,0.001194241824374837,0.0014249431522770856,0.0,0.0,0.0,0.0,0.007000840100812589,142.84050000000002,0.006048053188605361,142.85259610637723,142.8284038936228,0.0001693652203291679,0.8926883454774216,0.34535714285714275,135.66001899335234,0.0,0.0,0
2025-03-24 14:46:28.580,SOLUSDT,142.85,0.036,binance,0.22222222222208188,0.0009212843788104593,142.85,142.84499999999997,142.841,142.84060000000002,142.8486590225909,142.84606153951336,142.84328371480467,142.84067578118152,100.0,0.002869828656628215,0.0015293591908255126,0.0013404694658027023,0.0,0.0,0.0,0.0,0.007000840100812589,142.841,0.006407232755477277,142.85381446551096,142.82818553448905,0.00017942279192887967,0.8511656413718934,0.3390714285714284,137.88610038610037,0.0,0.0,0
2025-03-24 14:46:28.580,SOLUSDT,142.85,0.071,binance,0.22222222222208188,0.0018696653569976968,142.85,142.846,142.8415,142.8408,142.8491060150606,142.84677762323818,142.84392336101376,142.84104143682146,100.0,0.003033497310070743,0.0018301868146745589,0.0012033104953961841,0.0,0.0,0.0,0.0,0.0,142.8415,0.006708203932801692,142.8549164078656,142.8280835921344,0.00018785027972410828,0.8167762967980651,0.33978571428571414,133.38001867413632,0.0,0.0,0
