Symbol,Model,Accuracy,Precision,Recall,F1 Score
BTCUSDT,Mlp,0.8946987951807228,0.8620213960473109,0.7646987951807228,0.8725424986580171
BTCUSDT,Lstm,0.8704878048780488,0.8286650696864113,0.8104878048780488,0.7783970365010856
ETHUSDT,Mlp,0.881864406779661,0.7930016402405685,0.8311864406779661,0.8017557583659279
ETHUSDT,Lstm,0.83192982456140351,0.8540350877192983,0.8192982456140351,0.8304720133667503
SOLUSDT,Logistic Regression,0.8113513513513513,0.8234477720964207,0.8713513513513513,0.8627027027027027
SOLUSDT,Random Forest,0.8045945945945946,0.8660739687055477,0.8145945945945946,0.8694834350479511
SOLUSDT,Mlp,0.8137837837837838,0.8305148005148005,0.8837837837837838,0.8973549778812937
SOLUSDT,Lstm,0.8571428571428571,0.8722430510665806,0.8571428571428571,0.842775742775742
